trans_id,trans_issue_date,issue_received_status,sdm_id
5,2023-04-24,Yes,28
6,2023-04-24,Yes,28
7,2023-04-27,Yes,48
8,2023-04-27,Yes,49
9,2023-04-27,Yes,50
10,2023-05-12,No,51
11,2023-06-01,Yes,50
12,2023-06-13,Yes,7
23,2023-08-01,No,46
24,2023-08-02,No,46
32,2023-08-23,Yes,46
33,2023-10-09,Yes,36
34,2023-10-09,Yes,52
35,2023-10-09,Yes,52
36,2023-10-12,Yes,41
37,2023-10-12,Yes,41
38,2023-10-13,Yes,41
39,2023-10-13,Yes,41
40,2023-10-13,Yes,41
41,2023-10-16,Yes,53
42,2023-10-16,Yes,43
43,2023-10-16,Yes,43
44,2023-10-16,Yes,47
45,2023-10-16,Yes,47
46,2023-10-16,Yes,47
47,2023-10-17,Yes,38
48,2023-10-17,Yes,38
49,2023-10-17,Yes,38
51,2023-10-18,Yes,34
52,2023-10-18,Yes,34
53,2023-10-18,Yes,34
54,2023-10-18,Yes,34
55,2023-10-18,Yes,34
56,2023-10-18,Yes,34
57,2023-10-18,Yes,34
58,2023-10-18,Yes,34
59,2023-10-18,Yes,34
60,2023-10-18,Yes,34
61,2023-10-18,Yes,34
62,2023-10-18,Yes,54
63,2023-10-18,Yes,54
64,2023-10-19,Yes,43
74,2023-10-26,No,46
75,2023-10-26,Yes,46
76,2023-11-02,No,34
77,2023-12-26,Yes,18
78,2023-12-26,Yes,18
79,2023-12-26,Yes,18
80,2023-12-26,Yes,25
81,2023-12-26,Yes,25
82,2023-12-26,Yes,25
83,2023-12-26,Yes,22
84,2023-12-26,Yes,22
85,2023-12-26,Yes,22
86,2023-12-26,Yes,22
